メニュー番号,屋台番号,屋台名
13,A1,GGクロッフル
18,A10,土木のおいも
62,A2,ジャンボフランクフルト
16,A3,花よりスモア
98,A4,トッポギハウス
48,A5,フランク信江❤️
37,A6,近響が奏でるベビーカステるん
112,A7,たこせん屋
9,A8,ローバー焼き鳥
92,A9,510雑貨店
3,B1,覇王樹座たこ焼きぶ
91,B10,行列のできる渡辺フランクフルト
84,B2,フェスチキ
107,B3,布施ラボ　スイーツ部
103,B4,つっちーの激うまミニ揚げパン
94,B5,陶龍包
100,B6,瞬たこFLASH
85,B7,爆裂⭐️ポップ道
83,B8,ふみちゃんのポップコーン畑
34,B9,川村ゼミプロデュースパリパリウインナー
113,C1,トリカワ
2,C10,ゆず風味牛すじうどん
54,C2,あるま de たまごせんべい
15,C3,箏林堂
72,C4,熱三明治男
129,C5,林ゼミのあったか1杯
39,C6,サイクルドッグ
106,C7,肉とは
61,C8,近フル
43,C9,つるっとわかめうどん
90,D1,ギョギョそば〜魚の音読みはウォウォ〜
119,D10,アゲアゲ↑↑パンっ！！スターズ⭐️
104,D2,能登のよみがえりトート
66,D3,自家焙煎珈琲
73,D4,金さんの韓国おでん
40,D5,酸いも甘イモ〜青春味〜
25,D6,焼きとりさ
38,D7,石村よりたいを込めて
29,D8,福岡製麺
57,D9,イカ焼き研究所
51,E1,More More s'more!
67,E10,フランクフルト屋さん
14,E11,ブロッ子特製ベビーカステラ
150,E12,ガラス造形ゼミ
21,E13,二刀流蛸焼き
82,E2,ふらっとフランクフルト
134,E3,もちるんとん
45,E4,うまそうなもんやっ豚汁
159,E5,ホルモンクエソバ
52,E6,JAGAR HITODSHI⭐️#じゃがバタ界隈
1,E7,潜水食堂ソーキそば
87,E8,はしまきのはまーず
132,E9,あったか〜いはらパインパンケーキ
81,F1,宇宙 de シチュー営業中
74,F10,Nuclear童話標本室
133,F11,わたあめ三郎
4,F12,みるせん at UNIONE
80,F2,錦起文藝
120,F3,電研バーガー
44,F4,布施ラボ　コスメ開発部
136,F5,さとしのポップコーン
121,F6,Airうどん
95,F7,ギョーザマン〜ドリンを添えて〜
68,F8,チュロス屋さん
93,F9,探検焼きそば隊
27,G1,Hot ひといき
50,G2,今夜焼きたいのは餃子か、貴方の未練か。
158,G3,SEMBA DOGG
168,G4,ハリケーン！！ポテト⭐️
105,G5,やきそば大将
56,G6,豚々
111,H1,いか一家 Final
96,H2,変革屋
148,H3,揚げ今川焼き
42,H4,カイグン　ヘイチョウガ　カク　ヤキトリ（正しい表記は韓国語）
77,H5,亜留満流小籠包
123,I1,イラゼミ屋
137,I2,タカミのウマウマたません
161,I3,文デザストア
33,I4,のりちゃん焼きそば
140,I5,ソーセージ焼き屋さん
12,I6,辛聞トッポギ
59,I7,高原パスタ
78,I8,パクッとパラチュロ！
116,I9,揚げパン工房田中堂
7,J1,〜おでんに候〜衣笠ゼミパビリオン
151,J2,モ〜烈！！鉄板'sシェフ
138,J3,ギョさこい乱舞
115,J4,100円揚げ餃子屋〜味と安さとetc.〜
64,J5,揚げ物の活学
164,K1,揚げパン屋さん
118,K10,チュロス
169,K11,ふみくんのチュロすてないで！
165,K12,アブパン
26,K2,ポップコーン論I
79,K3,激甘リカバリーたい焼き
126,K4,Spi's kitchen 2
88,K5,MORI✖️MAI
8,K6,なぶちのひとくち
89,K7,くろっふる日和
135,K8,YABAちゃん魂のIPPON PON PON
47,K9,中華ネギネギ餅屋
6,L1,揚げパン屋さん
35,L10,Lucky Potato
139,L11,ふぞろいチップス
49,L12,つるん。
160,L13,焼きうどんJAPAN
23,L14,生駒フランク本店
32,L15,「あの」わたがし
36,L2,池田家の豚汁
167,L3,DYE's Chicken Burger
110,L4,ニア教授のとうもろこし屋さん
145,L5,揚げパン
22,L6,ISHI'sキッチン
162,L7,マンゴーわたがし
75,L8,来世もきっと思い出す唐沢ポテ子
130,L9,BOLEの餃子
